No.,Phase,State,PC Name,Electors,Poll (%),Votes
1,1,"Andaman & NicobarIslands","Andaman & NicobarIslands",315148,64.1,202018
2,1,Arunachal Pradesh,Arunachal East,375310,83.31,312658
3,1,Arunachal Pradesh,Arunachal West,517384,73.6,380783
4,1,Assam,Dibrugarh,1659588,76.75,1273744
5,1,Assam,Jorhat,1727121,79.89,1379749
6,1,Assam,Kaziranga,2050126,79.33,1626408
7,1,Assam,Lakhimpur,1577234,76.42,1205331
8,1,Assam,Sonitpur,1633800,78.46,1281959
9,1,Bihar,Aurangabad,1871564,50.35,942382
10,1,Bihar,Gaya,1816815,52.76,958623
11,1,Bihar,Jamui,1907126,51.25,977369
12,1,Bihar,Nawada,2006124,43.17,866102
13,1,Chhattisgarh,BASTAR,1472207,68.29,1005392
14,1,Jammu and Kashmir,UDHAMPUR,1623195,68.27,1108206
15,1,Lakshadweep,Lakshadweep,57784,84.16,48630
16,1,Madhya Pradesh,BALAGHAT,1873653,73.45,1376207
17,1,Madhya Pradesh,CHHINDWARA,1632190,79.83,1303001
18,1,Madhya Pradesh,JABALPUR,1896346,61,1156722
19,1,Madhya Pradesh,MANDLA,2101811,72.84,1530861
20,1,Madhya Pradesh,SHAHDOL,1777185,64.68,1149506
21,1,Madhya Pradesh,SIDHI,2028451,56.5,1146150
22,1,Maharashtra,Bhandara Gondiya,1827188,67.04,1224928
23,1,Maharashtra,Chandrapur,1837906,67.55,1241574
24,1,Maharashtra,Gadchiroli - Chimur,1617207,71.88,1162476
25,1,Maharashtra,Nagpur,2223281,54.32,1207738
26,1,Maharashtra,Ramtek,2049085,61.01,1250190
27,1,Manipur,Inner Manipur,991574,80.15,794790
28,1,Manipur,Outer Manipur,553078,68.83,380688
29,1,Meghalaya,Shillong,1400411,73.78,1033251
30,1,Meghalaya,Tura,826156,81.37,672284
31,1,Mizoram,MIZORAM,856364,56.87,487013
32,1,Nagaland,Nagaland,1317536,57.72,760507
33,1,Puducherry,PUDUCHERRY,1023699,78.9,807724
34,1,Rajasthan,ALWAR,2059888,60.07,1237446
35,1,Rajasthan,BHARATPUR,2114916,52.8,1116742
36,1,Rajasthan,BIKANER,2048399,54.11,1108418
37,1,Rajasthan,CHURU,2213187,63.61,1407716
38,1,Rajasthan,DAUSA,1899304,55.72,1058386
39,1,Rajasthan,GANGANAGAR,2102002,66.59,1399688
40,1,Rajasthan,JAIPUR,2287350,63.38,1449612
41,1,Rajasthan,JAIPUR RURAL,2184978,56.7,1238818
42,1,Rajasthan,JHUNJHUNU,2068540,52.93,1094900
43,1,Rajasthan,KARAULI-DHOLPUR,1975352,49.59,979618
44,1,Rajasthan,NAGAUR,2146725,57.23,1228494
45,1,Rajasthan,SIKAR,2214900,57.53,1274270
46,1,Sikkim,Sikkim,464140,79.88,370765
47,1,Tamil Nadu,ARAKKONAM,1562871,74.19,1159441
48,1,Tamil Nadu,ARANI,1496118,75.76,1133520
49,1,Tamil Nadu,CHENNAI CENTRAL,1350161,53.96,728614
50,1,Tamil Nadu,CHENNAI NORTH,1496224,60.11,899367
51,1,Tamil Nadu,CHENNAI SOUTH,2023133,54.17,1096026
52,1,Tamil Nadu,CHIDAMBARAM,1519847,76.37,1160762
53,1,Tamil Nadu,COIMBATORE,2106124,64.89,1366597
54,1,Tamil Nadu,CUDDALORE,1412746,72.57,1025298
55,1,Tamil Nadu,DHARMAPURI,1524896,81.2,1238184
56,1,Tamil Nadu,DINDIGUL,1607051,71.14,1143196
57,1,Tamil Nadu,ERODE,1538778,70.59,1086287
58,1,Tamil Nadu,KALLAKURICHI,1568681,79.21,1242597
59,1,Tamil Nadu,KANCHEEPURAM,1748866,71.68,1253582
60,1,Tamil Nadu,KANNIYAKUMARI,1557915,65.44,1019532
61,1,Tamil Nadu,KARUR,1429790,78.7,1125241
62,1,Tamil Nadu,KRISHNAGIRI,1623179,71.5,1160498
63,1,Tamil Nadu,MADURAI,1582271,62.04,981650
64,1,Tamil Nadu,MAYILADUTHURAI,1545568,70.09,1083243
65,1,Tamil Nadu,NAGAPATTINAM,1345120,71.94,967694
66,1,Tamil Nadu,NAMAKKAL,1452562,78.21,1136069
67,1,Tamil Nadu,NILGIRIS,1428387,70.95,1013410
68,1,Tamil Nadu,PERAMBALUR,1446352,77.43,1119881
69,1,Tamil Nadu,POLLACHI,1597467,70.41,1124743
70,1,Tamil Nadu,RAMANATHAPURAM,1617688,68.19,1103036
71,1,Tamil Nadu,SALEM,1658681,78.16,1296481
72,1,Tamil Nadu,SIVAGANGA,1633857,64.26,1049887
73,1,Tamil Nadu,SRIPERUMBUDUR,2382119,60.25,1435243
74,1,Tamil Nadu,TENKASI,1525439,67.65,1031961
75,1,Tamil Nadu,THANJAVUR,1501226,68.27,1024949
76,1,Tamil Nadu,THENI,1622949,69.84,1133513
77,1,Tamil Nadu,THOOTHUKKUDI,1458430,66.88,975468
78,1,Tamil Nadu,TIRUCHIRAPPALLI,1553985,67.51,1049093
79,1,Tamil Nadu,TIRUNELVELI,1654503,64.1,1060461
80,1,Tamil Nadu,TIRUPPUR,1608521,70.62,1135998
81,1,Tamil Nadu,TIRUVALLUR,2085991,68.59,1430738
82,1,Tamil Nadu,TIRUVANNAMALAI,1533099,74.24,1138102
83,1,Tamil Nadu,VELLORE,1528273,73.53,1123715
84,1,Tamil Nadu,VILUPPURAM,1503115,76.52,1150164
85,1,Tamil Nadu,VIRUDHUNAGAR,1501942,70.22,1054634
86,1,Tripura,Tripura West,1463526,81.48,1192435
88,1,Uttar Pradesh,Kairana,1722432,62.46,1075839
89,1,Uttar Pradesh,Moradabad,2059578,62.18,1280706
90,1,Uttar Pradesh,Muzaffarnagar,1817472,59.13,1074608
91,1,Uttar Pradesh,Nagina,1644909,60.75,999203
92,1,Uttar Pradesh,Pilibhit,1831699,63.11,1155917
93,1,Uttar Pradesh,Rampur,1731836,55.85,967200
94,1,Uttar Pradesh,Saharanpur,1855310,66.14,1227083
95,1,Uttarakhand,Almora,1339327,48.74,652726
96,1,Uttarakhand,Garhwal,1369388,52.42,717834
97,1,Uttarakhand,Haridwar,2035726,63.53,1293362
98,1,Uttarakhand,"Nainital-UdhamsinghNagar",2015809,62.47,1259180
99,1,Uttarakhand,Tehri Garhwal,1577664,53.76,848186
100,1,West Bengal,Alipurduars,1773252,79.76,1414258
101,1,West Bengal,Coochbehar,1966893,82.16,1616079
102,1,West Bengal,Jalpaiguri,1885963,83.66,1577828
1,2,Assam,Darrang-Udalguri,2209314,82.01,1811764
2,2,Assam,Diphu,901032,75.74,682441
3,2,Assam,Karimganj,1412148,80.48,1136538
4,2,Assam,Nagaon,1817204,84.97,1544081
5,2,Assam,Silchar,1369578,79.05,1082616
6,2,Bihar,Banka,1856566,54.48,1011513
7,2,Bihar,Bhagalpur,1983031,53.5,1060982
8,2,Bihar,Katihar,1833009,63.76,1168752
9,2,Bihar,Kishanganj,1829994,62.84,1149988
10,2,Bihar,Purnia,1893698,63.08,1194484
11,2,Chhattisgarh,KANKER,1654440,76.23,1261103
12,2,Chhattisgarh,MAHASAMUND,1762477,75.02,1322125
13,2,Chhattisgarh,RAJNANDGAON,1868021,77.42,1446247
14,2,"Jammu andKashmir",JAMMU,1780835,72.22,1286144
15,2,Karnataka,Bangalore central,2433751,54.06,1315612
16,2,Karnataka,Bangalore North,3214496,54.45,1750372
17,2,Karnataka,Bangalore Rural,2802580,68.3,1914030
18,2,Karnataka,Bangalore South,2341759,53.17,1245168
19,2,Karnataka,Chamarajanagar,1778310,76.82,1366015
20,2,Karnataka,Chikkballapur,1981347,77,1525718
21,2,Karnataka,Chitradurga,1856876,73.3,1361031
22,2,Karnataka,Dakshina Kannada,1817603,77.56,1409653
23,2,Karnataka,Hassan,1736610,77.68,1348966
24,2,Karnataka,Kolar,1726914,78.27,1351646
25,2,Karnataka,Mandya,1779243,81.67,1453060
26,2,Karnataka,Mysore,2092222,70.62,1477576
27,2,Karnataka,Tumkur,1661309,78.05,1296720
28,2,Karnataka,Udupi Chikmagalur,1585162,77.15,1222888
29,2,Kerala,Alappuzha,1400082,75.05,1050726
30,2,Kerala,Alathur,1337496,73.42,981945
31,2,Kerala,Attingal,1396807,69.48,970517
32,2,Kerala,Chalakudy,1310529,71.94,942787
33,2,Kerala,Ernakulam,1324047,68.29,904131
34,2,Kerala,Idukki,1250157,66.55,831936
35,2,Kerala,Kannur,1358368,77.21,1048839
36,2,Kerala,Kasaragod,1452230,76.04,1104331
37,2,Kerala,Kollam,1326648,68.15,904047
38,2,Kerala,Kottayam,1254823,65.61,823237
39,2,Kerala,Kozhikode,1429631,75.52,1079683
40,2,Kerala,Malappuram,1479921,72.95,1079547
41,2,Kerala,Mavelikkara,1331880,65.95,878360
42,2,Kerala,Palakkad,1398143,73.57,1028627
43,2,Kerala,Pathanamthitta,1429700,63.37,906051
44,2,Kerala,Ponnani,1470804,69.34,1019889
45,2,Kerala,Thiruvananthapuram,1430531,66.47,950829
46,2,Kerala,Thrissur,1483055,72.9,1081125
47,2,Kerala,Vadakara,1421883,78.41,1114950
48,2,Kerala,Wayanad,1462423,73.57,1075921
49,2,Madhya Pradesh,DAMOH,1925314,56.48,1087455
50,2,Madhya Pradesh,HOSHANGABAD,1855692,67.21,1247298
51,2,Madhya Pradesh,KHAJURAHO,1997483,56.97,1137867
52,2,Madhya Pradesh,REWA,1852126,49.43,915444
53,2,Madhya Pradesh,SATNA,1705260,61.94,1056175
54,2,Madhya Pradesh,TIKAMGARH,1826585,60,1096023
55,2,Maharashtra,Akola,1890814,61.79,1168366
56,2,Maharashtra,Amravati,1836078,63.67,1169121
57,2,Maharashtra,Buldhana,1782700,62.03,1105761
58,2,Maharashtra,Hingoli,1817734,63.54,1154958
59,2,Maharashtra,Nanded,1851843,60.94,1128564
60,2,Maharashtra,Parbhani,2123056,62.26,1321868
61,2,Maharashtra,Wardha,1682771,64.85,1091351
62,2,Maharashtra,Yavatmal- Washim,1940916,62.87,1220189
63,2,Manipur,Outer Manipur,484949,85.11,412737
64,2,Rajasthan,AJMER,1995699,59.66,1190561
65,2,Rajasthan,BANSWARA,2200438,73.88,1625731
66,2,Rajasthan,BARMER,2206237,75.93,1675276
67,2,Rajasthan,BHILWARA,2147159,60.37,1296228
68,2,Rajasthan,CHITTORGARH,2170167,68.61,1488898
70,2,Rajasthan,JHALAWAR-BARAN,2030525,69.71,1415420
71,2,Rajasthan,JODHPUR,2132713,64.27,1370616
72,2,Rajasthan,KOTA,2088023,71.26,1487879
73,2,Rajasthan,PALI,2343232,57.19,1339989
74,2,Rajasthan,RAJSAMAND,2060942,58.39,1203299
75,2,Rajasthan,"TONK-SAWAIMADHOPUR",2148128,56.58,1215309
76,2,Rajasthan,UDAIPUR,2230971,66.66,1487268
77,2,Tripura,Tripura East,1396761,80.36,1122424
78,2,Uttar Pradesh,Aligarh,1997234,56.93,1137051
79,2,Uttar Pradesh,Amroha,1716641,64.58,1108579
80,2,Uttar Pradesh,Baghpat,1653146,56.16,928392
81,2,Uttar Pradesh,Bulandshahr,1859462,56.42,1049189
82,2,Uttar Pradesh,"Gautam BuddhaNagar",2675148,53.63,1434667
83,2,Uttar Pradesh,Ghaziabad,2945487,49.88,1469260
84,2,Uttar Pradesh,Mathura,1929550,49.41,953388
85,2,Uttar Pradesh,Meerut,2000530,58.94,1179121
86,2,West Bengal,Balurghat,1561966,79.09,1235347
87,2,West Bengal,Darjeeling,1765744,74.76,1320072
88,2,West Bengal,Raiganj,1790245,76.18,1363854
1,3,Assam,Barpeta,1966847,85.24,1676633
2,3,Assam,Dhubri,2660827,92.08,2450041
3,3,Assam,Guwahati,2036846,78.39,1596664
4,3,Assam,Kokrajhar,1484571,83.55,1240306
5,3,Bihar,Araria,2018767,61.93,1250261
6,3,Bihar,Jhanjharpur,2003040,54.48,1091258
7,3,Bihar,Khagaria,1840217,57.52,1058539
8,3,Bihar,Madhepura,2071166,58.29,1207368
9,3,Bihar,Supaul,1927207,63.55,1224821
10,3,Chhattisgarh,BILASPUR,2102687,64.77,1361871
11,3,Chhattisgarh,DURG,2090414,73.68,1540193
12,3,Chhattisgarh,JANJGIR-CHAMPA,2056047,67.56,1389012
13,3,Chhattisgarh,KORBA,1618864,75.63,1224268
14,3,Chhattisgarh,RAIGARH,1838547,78.85,1449673
15,3,Chhattisgarh,RAIPUR,2375379,66.82,1587116
16,3,Chhattisgarh,SURGUJA,1819347,79.89,1453444
17,3,"Dadra & Nagar Haveli andDaman & Diu","Dadar & NagarHaveli",283024,72.52,205248
18,3,"Dadra & Nagar Haveli andDaman & Diu",Daman & Diu,134189,68.77,92279
19,3,Goa,North Goa,580577,77.69,451042
20,3,Goa,South Goa,598767,74.47,445916
21,3,Gujarat,Ahmedabad East,2038162,54.72,1115317
22,3,Gujarat,Ahmedabad West,1726987,55.45,957573
23,3,Gujarat,Amreli,1732810,50.29,871373
24,3,Gujarat,Anand,1780182,65.04,1157763
25,3,Gujarat,Banaskantha,1961924,69.62,1365989
26,3,Gujarat,Bardoli,2048408,64.81,1327669
27,3,Gujarat,Bharuch,1723353,69.16,1191877
28,3,Gujarat,Bhavnagar,1916900,53.92,1033629
29,3,Gujarat,Chhota Udaipur,1821708,69.15,1259760
30,3,Gujarat,Dahod,1875136,59.31,1112211
31,3,Gujarat,Gandhinagar,2182736,59.8,1305197
32,3,Gujarat,Jamnagar,1817864,57.67,1048410
33,3,Gujarat,Junagadh,1795110,58.91,1057462
34,3,Gujarat,Kachchh,1943136,56.14,1090878
35,3,Gujarat,Kheda,2007404,58.12,1166619
36,3,Gujarat,Mahesana,1770617,59.86,1059938
37,3,Gujarat,Navsari,2223550,59.66,1326542
38,3,Gujarat,Panchmahal,1896743,58.85,1116171
39,3,Gujarat,Patan,2019916,58.56,1182950
40,3,Gujarat,Porbandar,1768212,51.83,916519
41,3,Gujarat,Rajkot,2112273,59.69,1260768
42,3,Gujarat,Sabarkantha,1976349,63.56,1256210
43,3,Gujarat,Surendranagar,2033419,55.09,1120128
44,3,Gujarat,Vadodara,1949573,61.59,1200768
45,3,Gujarat,Valsad,1859974,72.71,1352413
46,3,Karnataka,Bagalkot,1806183,72.66,1312319
47,3,Karnataka,Belgaum,1923788,71.49,1375283
48,3,Karnataka,Bellary,1884040,73.59,1386553
49,3,Karnataka,Bidar,1892962,65.47,1239358
50,3,Karnataka,Bijapur,1946090,66.32,1290719
51,3,Karnataka,Chikkodi,1761694,78.66,1385688
52,3,Karnataka,Davanagere,1709244,76.99,1315916
53,3,Karnataka,Dharwad,1831975,74.37,1362421
54,3,Karnataka,Gulbarga,2098202,62.25,1306119
55,3,Karnataka,Haveri,1792774,77.6,1391214
56,3,Karnataka,Koppal,1866397,70.99,1324898
57,3,Karnataka,Raichur,2010103,64.66,1299806
58,3,Karnataka,Shimoga,1752885,78.33,1372949
59,3,Karnataka,Uttara Kannada,1641156,76.53,1256027
60,3,Madhya Pradesh,BETUL,1895331,73.53,1393608
61,3,Madhya Pradesh,BHIND,1900654,54.93,1044022
62,3,Madhya Pradesh,BHOPAL,2339411,64.06,1498626
63,3,Madhya Pradesh,GUNA,1889551,72.43,1368554
64,3,Madhya Pradesh,GWALIOR,2154601,62.13,1338708
65,3,Madhya Pradesh,MORENA,2006730,58.97,1183282
66,3,Madhya Pradesh,RAJGARH,1875211,76.04,1425911
67,3,Madhya Pradesh,SAGAR,1745690,65.75,1147866
68,3,Madhya Pradesh,VIDISHA,1945404,74.48,1449010
69,3,Maharashtra,Baramati,2372668,59.5,1411621
70,3,Maharashtra,Hatkanangale,1814277,71.11,1290073
71,3,Maharashtra,Kolhapur,1936403,71.59,1386230
72,3,Maharashtra,Latur,1977042,62.59,1237355
73,3,Maharashtra,Madha,1991454,63.65,1267530
74,3,Maharashtra,Osmanabad,1992737,63.88,1272969
75,3,Maharashtra,Raigad,1668372,60.51,1009567
76,3,Maharashtra,"Ratnagiri-Sindhudurg",1451630,62.52,907618
77,3,Maharashtra,Sangli,1868174,62.27,1163353
78,3,Maharashtra,Satara,1889740,63.16,1193492
79,3,Maharashtra,Solapur,2030119,59.19,1201586
80,3,Uttar Pradesh,Agra,2072685,54.08,1120864
81,3,Uttar Pradesh,Aonla,1891713,57.44,1086687
82,3,Uttar Pradesh,Badaun,2008758,54.35,1091697
83,3,Uttar Pradesh,Bareilly,1924434,58.03,1116749
84,3,Uttar Pradesh,Etah,1700524,59.31,1008533
85,3,Uttar Pradesh,Fatehpur Sikri,1798823,57.19,1028791
86,3,Uttar Pradesh,Firozabad,1890772,58.53,1106747
87,3,Uttar Pradesh,Hathras,1938080,55.71,1079731
88,3,Uttar Pradesh,Mainpuri,1790797,58.73,1051758
89,3,Uttar Pradesh,Sambhal,1898202,62.91,1194209
90,3,West Bengal,Jangipur,1805360,75.72,1367014
91,3,West Bengal,Maldaha Dakshin,1782159,76.69,1366728
92,3,West Bengal,Maldaha Uttar,1862035,76.03,1415718
93,3,West Bengal,Murshidabad,1888097,81.52,1539112
1,4,Andhra Pradesh,Amalapuram (SC),1531410,83.85,1284018
2,4,Andhra Pradesh,Anakapalle,1596916,82.03,1309977
3,4,Andhra Pradesh,Ananthapur,1767591,80.51,1423108
4,4,Andhra Pradesh,Araku (ST),1554633,73.68,1145426
5,4,Andhra Pradesh,Bapatla (SC),1506354,85.48,1297704
6,4,Andhra Pradesh,Chittoor(SC),1640202,85.77,1406880
7,4,Andhra Pradesh,Eluru,1637430,83.68,1370153
8,4,Andhra Pradesh,Guntur,1791543,78.81,1411989
9,4,Andhra Pradesh,Hindupur,1656775,84.7,1403259
10,4,Andhra Pradesh,Kadapa,1639066,79.57,1304256
11,4,Andhra Pradesh,Kakinada,1634122,80.3,1312255
12,4,Andhra Pradesh,Kurnoolu,1722857,76.8,1323071
13,4,Andhra Pradesh,Machilipatnam,1539460,84.05,1293935
14,4,Andhra Pradesh,Nandyal,1721013,80.61,1387367
15,4,Andhra Pradesh,Narsapuram,1472923,82.59,1216550
16,4,Andhra Pradesh,Narsaraopet,1734858,85.65,1485909
17,4,Andhra Pradesh,Nellore,1712274,79.05,1353563
18,4,Andhra Pradesh,Ongole,1607832,87.06,1399707
19,4,Andhra Pradesh,Rajahmundry,1623149,80.93,1313630
20,4,Andhra Pradesh,Rajampet,1665702,79.09,1317448
21,4,Andhra Pradesh,Srikakulam,1631174,74.43,1214128
22,4,Andhra Pradesh,Thirupathi(SC),1729832,79.1,1368362
23,4,Andhra Pradesh,Vijayawada,1704077,79.37,1352495
24,4,Andhra Pradesh,Visakhapatnam,1927303,71.11,1370484
25,4,Andhra Pradesh,Vizianagaram,1585206,81.05,1284886
26,4,Bihar,Begusarai,2196089,58.7,1289076
27,4,Bihar,Darbhanga,1781356,57.37,1021962
28,4,Bihar,Munger,2042279,55.55,1134548
29,4,Bihar,Samastipur,1818530,60.11,1093182
30,4,Bihar,Ujiarpur,1745408,59.59,1040026
31,4,Jammu and Kashmir,SRINAGAR,1747810,38.49,672653
32,4,Jharkhand,Khunti,1326138,69.93,927422
33,4,Jharkhand,Lohardaga,1441302,66.45,957690
34,4,Jharkhand,Palamau,2243034,61.27,1374358
35,4,Jharkhand,Singhbhum,1447562,69.32,1003482
36,4,Madhya Pradesh,DEWAS,1940472,75.48,1464690
37,4,Madhya Pradesh,DHAR,1953834,72.76,1421585
38,4,Madhya Pradesh,INDORE,2526803,61.67,1558341
39,4,Madhya Pradesh,KHANDWA,2112203,71.52,1510588
40,4,Madhya Pradesh,KHARGONE,2046030,76.03,1555585
41,4,Madhya Pradesh,MANDSOUR,1898060,75.27,1428623
42,4,Madhya Pradesh,RATLAM,2094548,72.94,1527828
43,4,Madhya Pradesh,UJJAIN,1798704,73.82,1327715
44,4,Maharashtra,Ahmednagar,1981866,66.61,1320168
45,4,Maharashtra,Aurangabad,2059710,63.03,1298227
46,4,Maharashtra,Beed,2142547,70.92,1519526
47,4,Maharashtra,Jalgaon,1994046,58.47,1165968
48,4,Maharashtra,Jalna,1967574,69.18,1361226
49,4,Maharashtra,Maval,2585018,54.87,1418439
50,4,Maharashtra,Nandurbar,1970327,70.68,1392635
51,4,Maharashtra,Pune,2061276,53.54,1103678
52,4,Maharashtra,Raver,1821750,64.28,1170944
54,4,Maharashtra,Shirur,2539702,54.16,1375593
55,4,Odisha,Berhampur,1591380,65.41,1040924
56,4,Odisha,Kalahandi,1700780,77.9,1324936
57,4,Odisha,Koraput,1480922,77.53,1148182
58,4,Odisha,Nabarangpur,1514140,82.16,1243957
59,4,Telangana,Adilabad,1650175,74.03,1221553
60,4,Telangana,Bhongir,1808585,76.78,1388680
61,4,Telangana,Chevella,2938370,56.4,1657107
62,4,Telangana,Hyderabad,2217094,48.48,1074827
63,4,Telangana,Karimnagar,1797150,72.54,1303690
64,4,Telangana,Khammam,1631039,76.09,1241135
65,4,Telangana,Mahabubabad,1532366,71.85,1101030
66,4,Telangana,Mahbubnagar,1682470,72.43,1218587
67,4,Telangana,Malkajgiri,3779596,50.78,1919131
68,4,Telangana,Medak,1828210,75.09,1372894
69,4,Telangana,Nagarkurnool,1738254,69.46,1207470
70,4,Telangana,Nalgonda,1725465,74.02,1277137
71,4,Telangana,Nizamabad,1704867,71.92,1226133
72,4,Telangana,Peddapalle,1596430,67.87,1083467
73,4,Telangana,Secunderabad,2120401,49.04,1039834
74,4,Telangana,Warangal,1824466,68.86,1256301
75,4,Telangana,Zahirabad,1641410,74.63,1225049
76,4,Uttar Pradesh,Akbarpur,1869167,57.78,1079978
77,4,Uttar Pradesh,Baharaich,1838684,57.42,1055818
78,4,Uttar Pradesh,Dhaurahra,1719345,64.54,1109680
79,4,Uttar Pradesh,Etawah,1828498,56.36,1030554
80,4,Uttar Pradesh,Farrukhabad,1747182,59.08,1032244
81,4,Uttar Pradesh,Hardoi,1910485,57.52,1098820
82,4,Uttar Pradesh,Kannauj,1988925,61.08,1214886
83,4,Uttar Pradesh,Kanpur,1662859,53.05,882074
84,4,Uttar Pradesh,Kheri,1870170,64.68,1209621
85,4,Uttar Pradesh,Misrikh,1878195,55.89,1049630
86,4,Uttar Pradesh,Shahjahanpur,2331834,53.36,1244364
87,4,Uttar Pradesh,Sitapur,1759943,62.54,1100741
88,4,Uttar Pradesh,Unnao,2341740,55.46,1298677
89,4,West Bengal,Asansol,1770281,73.27,1297096
90,4,West Bengal,Baharampur,1783078,77.54,1382678
91,4,West Bengal,Bardhaman Purba,1801333,82.85,1492453
92,4,West Bengal,Bardhaman-Durgapur,1851780,80.72,1494778
93,4,West Bengal,Birbhum,1857022,81.91,1521023
94,4,West Bengal,Bolpur,1839234,82.66,1520401
95,4,West Bengal,Krishnanagar,1755631,80.65,1415859
96,4,West Bengal,Ranaghat,1871658,81.87,1532304
1,5,Bihar,Hajipur,1967094,58.43,1149406
2,5,Bihar,Madhubani,1934980,53.04,1026408
3,5,Bihar,Muzaffarpur,1866106,59.47,1109688
4,5,Bihar,Saran,1795010,56.73,1018366
5,5,Bihar,Sitamarhi,1947996,56.21,1094885
6,5,"Jammu andKashmir",BARAMULLA,1737865,59.1,1027084
7,5,Jharkhand,Chatra,1689926,63.69,1076352
8,5,Jharkhand,Hazaribagh,1939374,64.39,1248798
9,5,Jharkhand,Kodarma,2205318,61.81,1363010
10,5,Ladakh,Ladakh,184808,71.82,132727
11,5,Maharashtra,Bhiwandi,2087244,59.89,1250090
12,5,Maharashtra,Dhule,2022061,60.21,1217523
13,5,Maharashtra,Dindori,1853387,66.75,1237180
14,5,Maharashtra,Kalyan,2082221,50.12,1043610
15,5,Maharashtra,Mumbai North,1811942,57.02,1033241
16,5,Maharashtra,Mumbai North Central,1744128,51.98,906530
17,5,Maharashtra,Mumbai North East,1636890,56.37,922760
18,5,Maharashtra,Mumbai North West,1735088,54.84,951580
19,5,Maharashtra,Mumbai South,1536168,50.06,769010
20,5,Maharashtra,Mumbai South Central,1474405,53.6,790339
21,5,Maharashtra,Nashik,2030124,60.75,1233379
22,5,Maharashtra,Palghar,2148514,63.91,1373162
23,5,Maharashtra,Thane,2507372,52.09,1306194
24,5,Odisha,Aska,1620974,62.67,1015883
25,5,Odisha,Bargarh,1631974,79.78,1302069
26,5,Odisha,Bolangir,1801744,77.52,1396719
27,5,Odisha,Kandhamal,1339090,74.16,993091
28,5,Odisha,Sundargarh,1576105,73.02,1150875
29,5,Uttar Pradesh,Amethi,1796098,54.34,976053
30,5,Uttar Pradesh,Banda,1747425,59.7,1043256
31,5,Uttar Pradesh,Barabanki,1918491,67.2,1289258
32,5,Uttar Pradesh,Faizabad,1927459,59.14,1139882
33,5,Uttar Pradesh,Fatehpur,1938563,57.09,1106690
34,5,Uttar Pradesh,Gonda,1843121,51.62,951394
35,5,Uttar Pradesh,Hamirpur,1839761,60.6,1114874
36,5,Uttar Pradesh,Jalaun,2006161,56.18,1127112
37,5,Uttar Pradesh,Jhansi,2161221,63.86,1380214
38,5,Uttar Pradesh,Kaiserganj,1904726,55.68,1060576
39,5,Uttar Pradesh,Kaushambi,1909620,52.8,1008255
40,5,Uttar Pradesh,Lucknow,2172171,52.28,1135624
41,5,Uttar Pradesh,Mohanlalganj,2187232,62.88,1375372
42,5,Uttar Pradesh,Rae Bareli,1784314,58.12,1036997
43,5,West Bengal,Arambagh,1883266,82.62,1555882
44,5,West Bengal,Bangaon,1836374,81.04,1488209
45,5,West Bengal,Barrackpur,1508728,75.41,1137763
46,5,West Bengal,Hooghly,1858067,81.38,1512060
47,5,West Bengal,Howrah,1769184,71.73,1269079
48,5,West Bengal,Srerampur,1926645,76.44,1472793
49,5,West Bengal,Uluberia,1741438,79.78,1389316